Frase	Grupo	Palavra Em Destaque No Grupo	Palavras Frequentes No Grupo
E não consegui enviar o comprovante a tempo	41	consigo	acessar,curso,consigo
Não sei dar os passos necessários.	41	consigo	acessar,curso,consigo
Como faço para acessar o curso de administração do tempo que comprei. Perdi a senha e o e-mail com o link. Preciso de ajuda para recuperar	41	consigo	acessar,curso,consigo
A partir de agora estaremos atendendo em nossa nova *SEDE*, nos *EUA*. 	42	agora	agora,partir,estaremos
Pelo contrário, esse é o momento certo.	42	agora	agora,partir,estaremos
Não é para agora é pra quando surgir.	42	agora	agora,partir,estaremos
Agora em setembro.	42	agora	agora,partir,estaremos
Boa noite, 	43	olá	boa,olá,noite
Olá!Boa Noite	43	olá	boa,olá,noite
Olá, boa noite!	43	olá	boa,olá,noite
Gosto de ouvir n madrugada s	43	olá	boa,olá,noite
Olá! Boa tarde. 	43	olá	boa,olá,noite
Olá! Boa noite	43	olá	boa,olá,noite
Olá! Boa tarde. 	43	olá	boa,olá,noite
Olá!. Boa tarde	43	olá	boa,olá,noite
Olá! Boa noite 	43	olá	boa,olá,noite
Olá, boa noite.	43	olá	boa,olá,noite
Ola Boa tarde 	43	olá	boa,olá,noite
Hola boa tarde 🌹	43	olá	boa,olá,noite
Olá, Lúcia , boa tarde!	43	olá	boa,olá,noite
Temos 4 projetos aprovados na Lei de Incentivo à Cultura, Lei 8.313/91.	44	aprovados	lei,projetos,aprovados
Temos 5 projetos aprovados na Lei do ISS, Rio de Janeiro, Lei 5.553/2013.	44	aprovados	lei,projetos,aprovados
3 espetáculos de teatroPRONAC Nº 202108 - BRINCANDO DE RETALHOS, primeira infância, inéditoPRONAC Nº 202524 - BULLYING, pode ser realizado com atores locais, 18ª temporada	45	temporada	temporada,nº,espetáculos
PRONAC Nº 201978 - SUPER AÇÃO, improviso, 9ª temporada	45	temporada	temporada,nº,espetáculos
3 espetáculos de teatroWEC56/01/2021 - BRINCANDO DE RETALHOS, primeira infância, inéditoWEC81/01/2020 - BULLYING, 18ª temporada	45	temporada	temporada,nº,espetáculos
WEC84/01/2020 - SUPER AÇÃO, improviso, 9ª temporada	45	temporada	temporada,nº,espetáculos
1 OficinaWEC738/01/2021 - ARTE PARA TODOS, oficinas de teatro, canto e dança	45	temporada	temporada,nº,espetáculos
Cuidamos da divulgação da SOMOS LIVROS, editora que acaba de chegar ao mercado com a proposta de compartilhar ideias, propor reflexões e despertar para novas visões de mundo.  	46	editora	livros,distribuição,cuidamos
1 LiteraturaPRONAC Nº 202078 - Distribuição de livros pelo país	46	editora	livros,distribuição,cuidamos
1 LiteraturaWEC42/01/2020 - AÇÃO LITERÁRIA, distribuição de livros pelo Rio de Janeiro, 4ª edição	46	editora	livros,distribuição,cuidamos
Seria a cabala... hermetismo...alquimia...geometria Sagrada...universalismo	47	tarot	curso,tarot,cabala
Curso de tarot egípcio, esotérico. ✨	47	tarot	curso,tarot,cabala
Curso de tarot.	47	tarot	curso,tarot,cabala
Voces tem algum curso de iniciacao ao esoterismo	47	tarot	curso,tarot,cabala
Despertar para arte de viver como faço para assistir a aula.	48	despertar	viver,despertar,arte
Hoje, acho que me dou por satisfeito, vou ficando sem o que pensar, tipo na paz, sem inspiração, e vou dormir e sonhar o que quiser sem ferir a mim ou alguém. Quando o sono volta como combustível para viver a vida. E estou achando tão estranho querer dormir a noite para só eu poder imaginar outras coisas belas, profundas e (estatuante), acho que inventei um estado modo de com essa palavra, tipo de boca aberta pelo que posso imaginar.	48	despertar	viver,despertar,arte
Olá! procuro a palestra do despertar para a arte de viver	48	despertar	viver,despertar,arte
Por acaso há possibilidade de assistir a palestra dos Essênios que foi transmitida dia 27/08 pelo zoom?	49	possibilidade	assistir,palestra,acaso
Por acaso há possibilidade de assistir a palestra dos Essênios que foi transmitida dia 27/08 pelo zoom?	49	possibilidade	assistir,palestra,acaso
Olá! Gostaria de assistir a palestra de hoje, 10 set. Ainda é possível?	49	possibilidade	assistir,palestra,acaso
Assistir live hoje	50	assistir	assistir,dia,palestra
No dia da  palestra eu estava trabalhando e não consegui assistir...e gostaria muito de ter assistido!	50	assistir	assistir,dia,palestra
No dia da  palestra eu estava trabalhando e não consegui assistir...e gostaria muito de ter assistido!	50	assistir	assistir,dia,palestra
Estou tentando assistir a palestra do dia, porém não recebi o link	50	assistir	assistir,dia,palestra
tenho uma pergunta e critério de explicar o uno e diabolo... e muita admiração !	51	diabolo	pergunta,critério,explicar
tenho uma pergunta e critério de explicar o uno e diabolo... e muita admiração !	51	diabolo	pergunta,critério,explicar
Onde é a sede mais próxima da minha casa?	52	sede	sede,vcs,onde
Vcs tem sede em Maceió	52	sede	sede,vcs,onde
Vcs têm alguma unidade em Petrolina	52	sede	sede,vcs,onde
Eu estou em um lugar onde não tem uma unidade e quero saber se algo mudou desde a última vez que nos falamos.	52	sede	sede,vcs,onde
Quero saber se na minha cidade tem sede de vcs	52	sede	sede,vcs,onde
No meu caso, moro no interior de SP aonde não existe nenhuma filial	52	sede	sede,vcs,onde
Em Anápolis, GO não tem uma sede?	52	sede	sede,vcs,onde
Acrópole mais perto da minha cidade	53	aqui	moro,aqui,acrópole
Estou em Inglaterra	53	aqui	moro,aqui,acrópole
Olá!estou no bairro	53	aqui	moro,aqui,acrópole
Entendo! Novamente achei q estava falando com alguém de minha região	53	aqui	moro,aqui,acrópole
Eu moro em Teresópolis	53	aqui	moro,aqui,acrópole
Oi! Aqui é o Luiz, da Nova Acrópole de Foz do Iguaçu!	53	aqui	moro,aqui,acrópole
Aqui em Dourados MS	53	aqui	moro,aqui,acrópole
Moro na Lagoa da Conceição em Florianopolis	53	aqui	moro,aqui,acrópole
Fiz para BOTAFOGO.	53	aqui	moro,aqui,acrópole
Moro em Jarinu, próximo a Campo Limpo Paulista em SP.	53	aqui	moro,aqui,acrópole
Aqui Telmo Kottwitz	53	aqui	moro,aqui,acrópole
Sou de Cascavel Paraná	53	aqui	moro,aqui,acrópole
GOIÁS.  A cidade: ANÁPOLIS.	53	aqui	moro,aqui,acrópole
Gostaria de me inscrever para a Palestra	54	inscrição	gostaria,palestra,inscrição
Olá!já fiz minha inscrição 	54	inscrição	gostaria,palestra,inscrição
A grande maioria gostam de serem auto suficiente foram programadas para um mundo de competição	54	inscrição	gostaria,palestra,inscrição
Gostaria de confirma minha inscrição na palestra de hoje	54	inscrição	gostaria,palestra,inscrição
Confirmar matrícula.	54	inscrição	gostaria,palestra,inscrição
Eu cheguei a fazer o pix pra começar na turma de outubro	54	inscrição	gostaria,palestra,inscrição
Como disse Cícero:  Certifica-te de que és fator de soma na vida daqueles de que participas.	54	inscrição	gostaria,palestra,inscrição
Gostaria de confirmar a aula hoje	54	inscrição	gostaria,palestra,inscrição
Promoção válida de 01/09/2021 até 29/09/2021	54	inscrição	gostaria,palestra,inscrição
https://www.acropolebrasil.com.br/inscricao.html?eventoId=13174	54	inscrição	gostaria,palestra,inscrição
Ingresso para amanhã	54	inscrição	gostaria,palestra,inscrição
Helena shalom.	55	helena	helena,shalom,livro
Helena shalom.	55	helena	helena,shalom,livro
Livro de Lúcia Helena.	55	helena	helena,shalom,livro
Harlem Costa	55	helena	helena,shalom,livro
Ingressos para Helena blavastiks	55	helena	helena,shalom,livro
Olá!Tomei conhecimento sobre vocês, através de uma palestra sobre Kaliu Gibram.E gostei muito.	56	mendel	sobre,nome,mendel
Meu nome é Mendel Kahan e eu fiz o curso de voces aqui em Israel, onde eu moro.	56	mendel	sobre,nome,mendel
Meu nome é Mendel Kahan e eu fiz o curso de voces aqui em Israel, onde eu moro.	56	mendel	sobre,nome,mendel
Vou dar 1 aula agora. Posso fazer contacto as 10hs?	57	contato	contato,poderia,rececer
Eu poderia rececer o contato dela ou seu what's up.?	57	contato	contato,poderia,rececer
Eu poderia rececer o contato dela ou seu what's up.?	57	contato	contato,poderia,rececer
Podes ler minha mensagem acima?	57	contato	contato,poderia,rececer
Alguma pessoa pode entrar em contato comigo?	57	contato	contato,poderia,rececer
Vc tem curso de iniciação a Filosofia Classica?	58	filosofia	filosofia,curso,olá
Gostaria de Saber de Vocês  vão  lançar CURSO DE FILOSOFIA  ON LINE ?	58	filosofia	filosofia,curso,olá
Gostaria de saber se tem e em qual unidade tem curso de filosofia para adolescentes (13/14 anos) e se tem curso de teatro para essa faixa etária	58	filosofia	filosofia,curso,olá
Olá!Helena gostaria de saber mais,aprender sobre filosofia. Vc tem cursos on line?	58	filosofia	filosofia,curso,olá
Tem alguma possibilidade on line?  Alguma novidade em relação a isso?	58	filosofia	filosofia,curso,olá
Ola bom dia! O curso de filosofia tem em Campinas Sp? Ou alguma unidade que possa ser feito online?	58	filosofia	filosofia,curso,olá
Olá! Meu nome é Francisca gostaria de saber se vocês oferecem cursos de filosofia online. Obrigada	58	filosofia	filosofia,curso,olá
Por favor, queria saber se há algum curso de filosofia on line?	58	filosofia	filosofia,curso,olá
Olá! Boa noite. Gostaria de saber se você tem um Currículo Lattes ou se tem trabalhos acadêmicos publicados em periódicos do CAPES sobre Filosofia???	58	filosofia	filosofia,curso,olá
Olá! Boa noite. Gostaria de saber se você tem um Currículo Lattes ou se tem trabalhos acadêmicos publicados em periódicos do CAPES sobre Filosofia???	58	filosofia	filosofia,curso,olá
Olá! Boa noite professora, gosto muito das suas palestras elas colaboram para o meu engrandecimento espiritual, tenho aprendido muito, assisto às  suas palestras, e sou muito grato pelos seus ensinamentos. Gostaria de fazer o  curso de filosofia da Nova acropole mais na minha cidade Nova Friburgo não tem nenhum.Tem como fazer pela Internet ? Muito grato	58	filosofia	filosofia,curso,olá
Olá! Boa tarde, tudo bem? Moradores de Luzimangues podem participar do curso de filosofia que inicia hoje?	58	filosofia	filosofia,curso,olá
Há lista de espera para o curso de filosofia em fortaleza?	58	filosofia	filosofia,curso,olá
Olá! Bom dia! Gostaria de saber se épossível fazer o curso de filosofia online.	58	filosofia	filosofia,curso,olá
Olá! Existe o curso de filosofia online? Moro em Timbó Santa Catarina	58	filosofia	filosofia,curso,olá
Olá. Boa tarde. Gostaria de saber se teremos o curso de filosofia on-line. Não moro no Brasil.	58	filosofia	filosofia,curso,olá
Olá! Bom dia! Gostaria de saber como posso ser aluna deste curso de filosofia completo? Se as aulas serão online ou presencial, valor, dias e horários???	58	filosofia	filosofia,curso,olá
Olá! Quando vai abrir uma turma de filosofia online?	58	filosofia	filosofia,curso,olá
Olá! Gostaria de saber se vocês tem algum curso sobre matemática espiritual , obrigada.	58	filosofia	filosofia,curso,olá
Olá! Gostaria de saber se é possível realizar o curso de filosofia de forma online?	58	filosofia	filosofia,curso,olá
Olá! Moro em caraguatatuba, gostaria de saber se tem curso na minha cidade	59	escola	gostaria,saber,escola
Gostaria de saber se a sede no centro de Florianópolis tem atendimento presencial e qual horário, obrigada.	59	escola	gostaria,saber,escola
O início seria as escolas iniciaticas	59	escola	gostaria,saber,escola
Olá! Boa tarde. Gostaria de uma informação. Existe turmas N2 aos sábados na sede do lago Norte. Ou às segundas feiras?! Se puder me ajudar. Estou procurando adequar meus horários para não desistir do estudo. Muito obrigada.  Meu nome é Elizabeth.	59	escola	gostaria,saber,escola
Olá! Tudo bemm? Gostaria de saber os endereços da escola na cidade de SP	59	escola	gostaria,saber,escola
Gostaria de saber se tem escola em Florianópolis /SC	59	escola	gostaria,saber,escola
Gostaria de saber se em Sevilla Es,  tem alguma escola da Nova Acrópolis,  quero estudar com vocês, sou brasilera e vivo aquí a 20 anos.  	59	escola	gostaria,saber,escola
Cidades com escola no  RS	59	escola	gostaria,saber,escola
Pagar anuidade.😇	60	pagamento	pagamento,inscrição,pagar
Inscrição e pagamento efetuados.	60	pagamento	pagamento,inscrição,pagar
Já efetuei inscrição e pagamento.	60	pagamento	pagamento,inscrição,pagar
Pagamento de boleto	60	pagamento	pagamento,inscrição,pagar
Ola, gostaria de obter informações sobre o curso de filosofia da Nova Acrópole. Agradeço	61	filosofia	filosofia,curso,gostaria
Saber valor do curso de filosofia	61	filosofia	filosofia,curso,gostaria
Olá! boa noite, gostraria de saber mais sobre o curso de filosofia classica na tijuca	61	filosofia	filosofia,curso,gostaria
Eu gostaria de saber valores do curso de Filosifia a maneira clássica da sede de São Caetano do Sul.	61	filosofia	filosofia,curso,gostaria
Acabei de fazer minha pré-inscrição para o curso de filosofia clássica. O curso começa dia 25/11, já pago agora pelo pix ?	61	filosofia	filosofia,curso,gostaria
Informações sobre curso filosofia clássica em sp	61	filosofia	filosofia,curso,gostaria
Preciso que me ajudem a elaborar um tema sobre o hermetismo e teosofia.	61	filosofia	filosofia,curso,gostaria
Gostaria de saber se ainda consigo me inscrever para o curso de filosofia a maneira clássica, turma de fortaleza.	61	filosofia	filosofia,curso,gostaria
Gostaria de informações a respeito do Curso de Filosofia.	61	filosofia	filosofia,curso,gostaria
Poderia me informar o valor do curso de Filosofia?	61	filosofia	filosofia,curso,gostaria
Eu e mais duas amigas queremos fazer o curso de filosofia? Qdo vai começar a nova turma?	61	filosofia	filosofia,curso,gostaria
Qual o valor do curso de filosofia de vcs?	61	filosofia	filosofia,curso,gostaria
Quais estudos para expansão da consciência	61	filosofia	filosofia,curso,gostaria
Preciso saber se o curso de filosofia em fortaleza inicia amanhã	61	filosofia	filosofia,curso,gostaria
O cursos de filosofia é so presencial?	61	filosofia	filosofia,curso,gostaria
Olá boa noite, gostaria de saber como faço para estudar filosofia com vocês, obrigado	61	filosofia	filosofia,curso,gostaria
Gostaria de informações sobre o Curso de Filosofia a Maneira Clássica!	61	filosofia	filosofia,curso,gostaria
quero informações sobre o curso de filosofia..	61	filosofia	filosofia,curso,gostaria
gostaria de melhores informaçõers sobre o curso de filosofia..	61	filosofia	filosofia,curso,gostaria
Olá! gostaria de saber se já estão ministrando o curso de filosofia em mogi das cruzes	61	filosofia	filosofia,curso,gostaria
Como faço o curso de filosofia?	61	filosofia	filosofia,curso,gostaria
Para quer que a filosofia diz não?	61	filosofia	filosofia,curso,gostaria
Você pode me dizer, em quer, que  a filosofia diz não?	61	filosofia	filosofia,curso,gostaria
gostaria de saber como funciona o curso de filosofia.	61	filosofia	filosofia,curso,gostaria
Olá! Meu nome é Ellyete. Gostaria de saber a programacao para o curso de Filosofia na escola da Barra da Tijuca. Grata!	61	filosofia	filosofia,curso,gostaria
Olá! Quero saber informações a respeito de curso de filosofia...	61	filosofia	filosofia,curso,gostaria
Olá! Informações sobre o curso Filosofia Clássica na sede do Lago Norte	61	filosofia	filosofia,curso,gostaria
Olá! Está acontecendo o Curso de Filosofia à Maneira Clássica?	61	filosofia	filosofia,curso,gostaria
Gostaria de saber sobre o curso de filosofia	61	filosofia	filosofia,curso,gostaria
Olá! As aulas do curso de filosofia podem ser assistidas de acordo com os horários demisponiveis dos alunos ou temos de assistir no horário de transmissão? E quais os horários de transmissão,  se for a única opção?	61	filosofia	filosofia,curso,gostaria
Olá Bom Dia!Gostaria de saber informaçoēs sobre o curso de Filosofia.OBRIGADO..	61	filosofia	filosofia,curso,gostaria
O curso de *Filosofia* é na modalidade *Licenciatura?*	61	filosofia	filosofia,curso,gostaria
Gostaria de informações sobre o curso filosofia indiana	61	filosofia	filosofia,curso,gostaria
Meu nome é Roberta, gostaria de mais informações referente ao curso de filosofia. Muito obrigado.	61	filosofia	filosofia,curso,gostaria
Gostaria de saber sobre o curso de filosofia …	61	filosofia	filosofia,curso,gostaria
Tenho interesse no curso de filosofia, gostaria de saber como funciona?	61	filosofia	filosofia,curso,gostaria
Gostaria de saber como faço para participar do curso de Filosofia pela Internet	61	filosofia	filosofia,curso,gostaria
Gostaria de saber sobre as novas turmas e inscricoes pro curso de filosofia para criancas.	61	filosofia	filosofia,curso,gostaria
Tenho interesse en fazer o curso de filosofia, gostaria eu saber se é possível e como funciona. Sou de Jundiaí, interior de São Paulo	61	filosofia	filosofia,curso,gostaria
Gostaria de informações sobre o curso de filosofia	61	filosofia	filosofia,curso,gostaria
Quero saber sobre o curso de Filosofia à maneira Clássica	61	filosofia	filosofia,curso,gostaria
Olá quero fazer o curso filosofia à maneira Clássica 	61	filosofia	filosofia,curso,gostaria
Gostaria de saber, o próximo curso de Filosofia na sede de Botafogo?	61	filosofia	filosofia,curso,gostaria
Olá! Boa tarde! Gostaria de saber se o curso de filosofia está com inscrição aberta? Gostei também dos programas para crianças e adolescentes, pois tenho filhos nessa idade. Enfim gostaria de receber informações. Grata Cassia Bernardino	61	filosofia	filosofia,curso,gostaria
Quero saber do curso de filosofia a maneira clássica em Araguaina.	61	filosofia	filosofia,curso,gostaria
Gostaria de saber mais sobre os cursos de filosofia	61	filosofia	filosofia,curso,gostaria
Olá! Gostaria de saber sobre a degustação de filosofia da Lucia	61	filosofia	filosofia,curso,gostaria
Olá! Como é feita a inscrição para o curso de filosofia? 	61	filosofia	filosofia,curso,gostaria
Meu nome é Luciana. Estou interessada no curso de filosofia. Quando será a próxima turma no Lago Norte?	61	filosofia	filosofia,curso,gostaria
Como eu posso iniciar o curso de filosofia	61	filosofia	filosofia,curso,gostaria
Olá! Boa noite! Eu gostaria de informações do curso de filosofia da unidade de Recife. Você tem o telefone?	61	filosofia	filosofia,curso,gostaria
absolutamente nada sobre Paulo Freire?	61	filosofia	filosofia,curso,gostaria
Como posso ingressar no curso de filosofia	61	filosofia	filosofia,curso,gostaria
Olá! Eu gostaria de mais informações sobre o curso de filosofia. Obrigada	61	filosofia	filosofia,curso,gostaria
Gostaria de saber sobre o curso de Estoicismo...	61	filosofia	filosofia,curso,gostaria
Gostaria de saber sobre o curso de filosofia no rj	61	filosofia	filosofia,curso,gostaria
Olá! Gostaria de ibter informações sobre o curso de filosofia	61	filosofia	filosofia,curso,gostaria
Olá! Boa noite. Informações sobre o curso de filosofia a distância. Obrigado Sandro	61	filosofia	filosofia,curso,gostaria
Ok gostaria de saber mais sobre Hermetismo	61	filosofia	filosofia,curso,gostaria
Olá! Moro no interior do Estado do RJ. Gostaria de informações sobre esse curso de filosofia clássica.  Preço e se todas as aulas serão presenciais.	61	filosofia	filosofia,curso,gostaria
Bom dia, abençoada. Me chamo Aderivan Lima, sou professor e realizo palestras e trabalhos e consultoria educacional. Gostaria de saber algumas informações sobre o curso de Filosofia à Maneira Clássica:	61	filosofia	filosofia,curso,gostaria
Olá! Bom dia. Tenho interesse em participar do curso de filosofia a maneira clássica. Como devo proceder?	61	filosofia	filosofia,curso,gostaria
Qual o valor degustação de filosofia?	61	filosofia	filosofia,curso,gostaria
Queria informações sobre os cursos para quem deseja iniciar estudos de filosofia	61	filosofia	filosofia,curso,gostaria
Sobre o curso de filosofia e o Janus	61	filosofia	filosofia,curso,gostaria
Gostaria de saber se vocês tem turma iniciando para o curso de filosofia aplicada no lago norte.	61	filosofia	filosofia,curso,gostaria
Olá! Qual o valor do curso filosofia a maneira clássica na sede de Taguatinga df?	61	filosofia	filosofia,curso,gostaria
Olá! Tudo na paz com vcs? Gostaria de endereço em Vitória ES ou Vila Velha, para cursos de filosofia.	61	filosofia	filosofia,curso,gostaria
É acadêmico?	61	filosofia	filosofia,curso,gostaria
Gostaria de saber sobre o curso de filosofia a distância	61	filosofia	filosofia,curso,gostaria
Gostaria de fazer a inscrição no curso de filosofia que vai ocorrer nos dias 8 e 9 de setembro em Palmas	61	filosofia	filosofia,curso,gostaria
Qual o valor do curso de filósofia?	61	filosofia	filosofia,curso,gostaria
Qual o valor do curso de filosofia?	61	filosofia	filosofia,curso,gostaria
Olá! Como funciona o curso de filosofia? É através de EAD?	61	filosofia	filosofia,curso,gostaria
Olá! Gostaria de informação sobre o curso Filosofia à maneira clássica. Ele está sendo oferecido de forma virtual. Há previsão de nova turma?	61	filosofia	filosofia,curso,gostaria
Como fazer um curso de filosofia com vocês?	61	filosofia	filosofia,curso,gostaria
Helena, me interesso em cursar o curdo de filosofia. É presencial ou EAD? 	61	filosofia	filosofia,curso,gostaria
Gostaria de obter informações a respeito do curso de filosofia, ministrado por você. 	61	filosofia	filosofia,curso,gostaria
Olá, tudo bem? Sou o Ramon, um amante dos estudos filosóficos. Recentemente descobri a Nova Acrópole através de um conhecido e me senti bastante interessado pela instituição. Gostaria de saber se seria possível ajudá-los na instituição trabalhando como voluntário; pois só de estar próximo a um âmbito que trate da filosofia já seria de grande valia para mim. Muito obrigado pela atenção.	62	filosofia	nova,fazer,tudo
O frio é a ausência de calor, assim, como a escuridão? a ausência de luz? mesmo que por um instante, se tudo vai e volta ao pó, esse deve estar contido em algo maior, são nas diferenças que se reencontram as afinidades, nada pode ser absorvido. como humano, se não através da diferença, a unicidade só é nítida, temporal em espaço, e mesmo assim questionável… houvesse o tempo que tudo era considerado dual hoje vetorizamos.  Hoje a mais perfeita lei natural, se origina e eterniza no caos, somente percebemos peça do todo aquilo que em micro-cosmo, se reconhece igual, do cosmo até a fractalização,  onde o infinito se torna cada vez menor revelando o maior… E vice-versa? Proporção, tempo? forma a universalidade do todo…como um velho conto, de 2 arqueiros, um olhava e dizia… como é grande esse dragão! como fazer? Outro ria, ele é tão grande, que jamais, o pior de todos não o acertaria! Tudo é uma questão de percepção e valores, a impossibilidade de um era a vitória certeira do outro.	62	filosofia	nova,fazer,tudo
Olá. meu nome é Lauro. Eu queria só fazer uma introdução antes da proposta porque acho importante. eu to com uma mentalidade de fazer tudo que está ao meu alcance para ajudar as pessoas e o planeta, eu estou inspirado pela história de Warren Buffet que é um bilionário que vai doar 99% da fortuna pra causas mundiais, nao sei como vou fazer ainda, minha cabeça é muito confusa, mas minha meta é acumular o máximo de riqueza na minha vida pra doar também, usando de todo meu potencial, para tentar ou ajudar a curar alguma doença do mundo, ainda não sei qual, afinal, nem sei se conseguirei acumular muito.  A priori, pensava em fazer uma holding no setor de engenharia civil e todas elas serem 100% sustentáveis, pq já temos vários meios para isso mas não são tão disseminados. To fazendo vários cursos pra me aprimorar e voltei a estudar filosofia, parei num vídeo da nova acrópole por acidente e me apaixonei, meu lazer virou ver as palestras da ilustríssima prof Lúcia Helena Galvão, até compartilhei no instagram e vi uma certa resistência nas pessoas em admitir que gostam de filosofia ( mesmo sendo super interessadas), aí me lembrei que em uma das aulas de marketing, falaram sobre criar uma página alternativa de cortes, tipo cortes flow e também usam no meio dos games, com o mesmo conteúdo, ganha-se 2x; as pessoas que acham as palestras grande, assistem os cortes, começam a se interessar mais, mandam cortes de impacto para amigos, que também se interessam mais e assim a filosofia iria se espalhando mais e mais. Acho que a ordem das coisas hoje está muito automatizada e as pessoas nao pensam tanto sobre as coisas importantes da vida, o que deixa elas fracas e reflete no número de suicídios e depressões aumentando, a cura para isso é a filosofia, depois que comecei a estudar estoicismo e filosofia minha vida teve uma perspectiva totalmente nova e queria que mais pessoas pudessem sentir o que eu senti. Não sei como funciona mas deve precisar de permissão, e mesmo se não precisasse, acho coerente pedir a autorização de usar o conteúdo de vocês para fazer os cortes, se acharem a ideia boa e quiserem usar dela, vocês mesmo, estarei satisfeito ajudando. obrigado pela atenção, sou péssimo em descrever meus pensamentos em palavras, mas é isso.	62	filosofia	nova,fazer,tudo
Olá! Bom dia Professora Lúcia Helena e a todos os colaboradores da Nova Acrópole. O meu nome é Magno Passos Garcia, tenho 44 anos. Eu falo de Lagoa Santa-MG, RM de BH. Registro, antes de tudo, minha profunda admiração e respeito pelo trabalho de iluminação, doação e caridade desenvolvido pela instituição. Existe uma cidade, vizinha de onde resido, e onde atualmente trabalho como servidor público, chamada Vespasiano. Essa cidade possui bairros com os menores IDH's do Estado. A exemplo temos uma região de aglomerados chamada Morro Alto e Vila da Fé com quase 50.000 habitantes. Inclusive exerço as minhas funções laborativas nesta comunidade, com a qual tenho um imenso carinho!!! Vejo que a principal carência ali é a de cultura/conhecimento (elementar... eu me incluo nisso). A Nova Acrópole teria interesse em abrir uma sede nesta comunidade? Neste caso, tendo a mim só como voluntário desprovido de conhecimentos filosóficos, mas sendo amante dos livros, já com certa bagagem na seara do voluntariado, e, por fim, sem pragmatismo, com vontade de fazer algo de verdadeiramente útil?	62	filosofia	nova,fazer,tudo
Olá! Bom dia Professora Lúcia Helena e a todos os colaboradores da Nova Acrópole. O meu nome é Magno Passos Garcia, tenho 44 anos. Eu falo de Lagoa Santa-MG, RM de BH. Registro, antes de tudo, minha profunda admiração e respeito pelo trabalho de iluminação, doação e caridade desenvolvido pela instituição. Existe uma cidade, vizinha de onde resido, e onde atualmente trabalho como servidor público, chamada Vespasiano. Essa cidade possui bairros com os menores IDH's do Estado. A exemplo temos uma região de aglomerados chamada Morro Alto e Vila da Fé com quase 50.000 habitantes. Inclusive exerço as minhas funções laborativas nesta comunidade, com a qual tenho um imenso carinho!!! Vejo que a principal carência ali é a de cultura/conhecimento (elementar... eu me incluo nisso). A Nova Acrópole teria interesse em abrir uma sede nesta comunidade? Neste caso, tendo a mim só como voluntário desprovido de conhecimentos filosóficos, mas sendo amante dos livros, já com certa bagagem na seara do voluntariado, e, por fim, sem proselitismo, com vontade de fazer algo de verdadeiramente útil?	62	filosofia	nova,fazer,tudo
Bom dia, gostaria muito de agradecer todo aprendizado que venho absorvendo da Nova Acrópole, mas tenho uma certa admiração em especial pela prof. Lucia Helena. Outro dia pensei na possibilidade da prof. Lucia Helena entrevistar a minha companheira Karen Sato. Karen tem mestrado em epistemologia e vive as tradições orientais em sua vida de maneira pratica. O mestrado dela é muito profundo e creio que a prof. Lucia poderia extrair ótimo conteúdo e atualmente Karen trabalha com promoção da saúde nas terapias tradicionais da Índia, China e Japão.	62	filosofia	nova,fazer,tudo
Curso práticas de psicologia	63	psicologia	práticas,psicologia,curso
Práticas psicologia	63	psicologia	práticas,psicologia,curso
Meditações	63	psicologia	práticas,psicologia,curso
Condição humana e transdisciplinaridade	63	psicologia	práticas,psicologia,curso
Qual o valor do curso?	64	valor	valor,curso,valores
Datas e valores dos cursos	64	valor	valor,curso,valores
Valores do curso	64	valor	valor,curso,valores
Valor do curso	64	valor	valor,curso,valores
Valores	64	valor	valor,curso,valores
Valor do curso.	64	valor	valor,curso,valores
Valor mensalidade	64	valor	valor,curso,valores
Gostaria de manter esse contato para eventuais informações. Peço se possível, a gentileza de informar o nome da música que faz a abertura destas palestras, sobre o livro Caibalion. (15).	65	livro	gostaria,livro,olá
Olá bom dia  meu nome é Fábio gostaria de adquirir o livro Cabalion	65	livro	gostaria,livro,olá
Olá bom dia  meu nome é Fábio gostaria de adquirir o livro Cabalion	65	livro	gostaria,livro,olá
Olá bom dia. Gostaria de saber se já está disponível o livro para entender o caibalion.	65	livro	gostaria,livro,olá
Olá , aonde encontro o livro da professora sobre o Cabalion? Tenho filhos de 14 anos e gostaria muito de comprar p eles e p mim	65	livro	gostaria,livro,olá
Parabéns pelo trabalhos desenvolvidos . 	66	parabéns	trabalho,parabéns,aqui
Que maravilha podermos falar por aqui. Fico muito grata. 🙏🏼💐	66	parabéns	trabalho,parabéns,aqui
Sou Lucas e moro aqui em Planaltina/DF, e acompanho você a um bom tempo. Um dia desses eu passei por sobradinho e vi a sede de vocês. Fiquei muito curioso para saber do trabalho realizado aqui em Brasília.	66	parabéns	trabalho,parabéns,aqui
Adoro o trabalho de vocês.	66	parabéns	trabalho,parabéns,aqui
Adoro o trabalho de vocês.	66	parabéns	trabalho,parabéns,aqui
Gosto muito do trabalho de vocês	66	parabéns	trabalho,parabéns,aqui
Olá! Trabalho muito incrível,  parabéns!	66	parabéns	trabalho,parabéns,aqui
PARABÉNS, POR TÃO LINDO TRABALHO.	66	parabéns	trabalho,parabéns,aqui
Que honra poder aprender com vocês!!!	66	parabéns	trabalho,parabéns,aqui
Olá! Adoro as suas conversas.	66	parabéns	trabalho,parabéns,aqui
São dois um é Infanto juvenil?	67	juvenil	dois,infanto,juvenil
São dois um é Infanto juvenil?	67	juvenil	dois,infanto,juvenil
Voltar ao menu	68	retorno	retorno,aguardo,fico
