,Messages,Classe,Similarity
5114,????,6.0,0.9330070096650737
5117,Pabliane Dias Leite,9.0,0.8600250540125709
5121,Ok,4.0,0.9999925679915664
5123,Boa tarde,12.0,0.9081050786729821
5126,"Thais de Oliveira  Assunção
04013259206",9.0,0.8376467000319834
5131,7,13.0,0.8922586349654542
5132,Oi,3.0,0.9999177003965305
5136,"Emiliana Pinto Vieira 
Cpf. 64648052315
Fortal Empreendimentos",9.0,0.8830896621980624
5137,Obrigada,2.0,0.9627894558350756
5140,"Amanda Castro 
Greenlife Family Club aldeota",9.0,0.9043468827773229
5144,Ok,4.0,0.9999925679915664
5149,Obrigada,2.0,0.9627894558350756
5150,??,6.0,0.9738372424132666
5155,Obrigada,2.0,0.9627894558350756
5157,Obrigada,2.0,0.9627894558350756
5166,Ok,4.0,0.9999925679915664
5167,Boa tarde Stella,12.0,0.8916566236693797
5173,Sim,5.0,0.9880873048952942
5175,?,6.0,0.9903489639542571
5177,Obrigado,7.0,0.9859162697976918
5187,Ok,4.0,0.9999925679915664
5188,Sim,5.0,0.9880873048952942
5193,1,13.0,0.9225807665146257
5196,?,6.0,0.9903489639542571
5199,51042142904,13.0,0.8700766284981464
5203,Ok,4.0,0.9999925679915664
5206,"Cliente: José Nunes Barbosa Filho
Talão 160
Fazer somente a lente direita",9.0,0.8645197361377337
5209,Ok,4.0,0.9999925679915664
5214,54599310,13.0,0.8027194643053803
5223,Boa tarde,12.0,0.9081050786729821
5228,Refinanciamento tem como ????,16.0,0.8421549628858844
5229,Bom dia,11.0,0.9927247826671293
5233,Boa tarde,12.0,0.9081050786729821
5234,Ok,4.0,0.9999925679915664
5235,Boa tarde,12.0,0.9081050786729821
5241,37269933049,13.0,0.8673907626586842
5244,Obrigado,7.0,0.9859162697976918
5245,54601817,13.0,0.8288823050365474
5247,Obrigada,2.0,0.9627894558350756
5252,01770007911,13.0,0.8414108443281043
5259,54603043,13.0,0.8093028560933246
5265,??????,6.0,0.9089205134115721
5268,Boa tarde,12.0,0.9081050786729821
5271,Obrigado,7.0,0.9859162697976918
5276,?,6.0,0.9903489639542571
5279,Sim,5.0,0.9880873048952942
5284,Ok,4.0,0.9999925679915664
5287,A informação q tenho da central de atendimento eh q ja tem caixa e preparação para instalação,1.0,0.8278473745877252
5294,Não. Muitp obrigado.,16.0,0.8006265746549239
5301,Ok,4.0,0.9999925679915664
5304,Oiiie,10.0,0.8502563133271822
5307,Ok,4.0,0.9999925679915664
5317,Ops boa tarde,12.0,0.8213149742633474
5320,Legal,10.0,0.8449498646157024
5323,1,13.0,0.9225807665146257
5333,Boa tarde,12.0,0.9081050786729821
5335,Oi,3.0,0.9999177003965305
5343,"39,90",13.0,0.8303305120799682
5347,Top,10.0,0.8379081449726746
5359,?,6.0,0.9903489639542571
5368,.,6.0,0.9528993961538452
5371,?,6.0,0.9903489639542571
5379,Boa tarde,12.0,0.9081050786729821
5383,Ja fiz uma consulta ja estou com a solicitação ai pagar outra consulta,1.0,0.8020331615758238
5392,Boa tarde,12.0,0.9081050786729821
5394,Boa tarde,12.0,0.9081050786729821
5395,Olá,15.0,0.8845560941342169
5399,Olá,15.0,0.8845560941342169
5402,1,13.0,0.9225807665146257
5409,?,6.0,0.9903489639542571
5410,Boa tarde,12.0,0.9081050786729821
5414,Boa tarde,12.0,0.9081050786729821
5416,Ok,4.0,0.9999925679915664
5418,Ok,4.0,0.9999925679915664
5419,Obrigada,2.0,0.9627894558350756
5426,Feito,7.0,0.8233220360783159
5449,Boa tarde,12.0,0.9081050786729821
5454,39923614115,13.0,0.8865590450562315
5460,Sim,5.0,0.9880873048952942
5461,89744497068,13.0,0.9338112704833945
5471,"Gase 2 pacotes grandes 
Algodão em disco 4 pacotes",8.0,0.8262599168390545
5472,"Eu sou aposentada e fiz um emprestimo no banco brasil no valor de R$8.000,00 reais, ja tem 2 anos e o banco não quer entrar em acordo pra financia o emprestimo",14.0,0.8123123798361136
5476,1,13.0,0.9225807665146257
5479,?????,6.0,0.9192450024273495
5480,??,6.0,0.9738372424132666
5482,Obrigada!!,16.0,0.8293393100607891
5483,"*PESQUISA DE SUBSTÂNCIAS REDUTORAS*
Código: PSR
Material: Fezes recentes
Prazo de Entrega: 2 dias úteis",9.0,0.8178152349188315
5485,Pode marcar,0.0,0.8815620069403037
5487,Olá,15.0,0.8845560941342169
5489,Ok,4.0,0.9999925679915664
5503,?,6.0,0.9903489639542571
5507,Letícia Veríssimo de Lima,9.0,0.866075049479794
5508,Obrigada,2.0,0.9627894558350756
5511,Sim,5.0,0.9880873048952942
5518,Ok,4.0,0.9999925679915664
5519,Boa tarde,12.0,0.9081050786729821
5525,Ok,4.0,0.9999925679915664
5536,Obrigado,7.0,0.9859162697976918
5545,Obrigada,2.0,0.9627894558350756
5548,Ok,4.0,0.9999925679915664
5549,119,13.0,0.8936145846987891
5554,Confirmado. Obrigado,7.0,0.8421697714629344
5577,Sim,5.0,0.9880873048952942
5583,Ok,4.0,0.9999925679915664
5587,Blz,10.0,0.8409440701686757
5597,Boa tarde,12.0,0.9081050786729821
5612,Ok,4.0,0.9999925679915664
5620,12,13.0,0.9066439044968387
5622,Ok,4.0,0.9999925679915664
5624,70759575207,13.0,0.9051311572044457
5627,Sim,5.0,0.9880873048952942
5628,Dá certo?,16.0,0.8094593087358087
5629,Boa tarde Joel,12.0,0.800880009926213
5630,Ñ tem horário??,16.0,0.8722811681883283
5634,7206,13.0,0.8518141273606499
5635,Joice,10.0,0.838981154965176
5645,Ok,4.0,0.9999925679915664
5647,Boa tarde,12.0,0.9081050786729821
5652,Ok,4.0,0.9999925679915664
5657,1401,13.0,0.9137352210122359
5665,"Curso: 
TÉCNICO DE SEGURANÇA DO TRABALHO",9.0,0.8037539497430917
5667,3,13.0,0.9309000111928037
5674,Oi,3.0,0.9999177003965305
5680,Ok,4.0,0.9999925679915664
5682,Oi,3.0,0.9999177003965305
5687,Certo,19.0,0.989127781057761
5688,3001,13.0,0.9026162399219376
5691,Boa tarde,12.0,0.9081050786729821
5693,Ok,4.0,0.9999925679915664
5700,Ok,4.0,0.9999925679915664
5709,Obrigado,7.0,0.9859162697976918
5712,650 266 061,13.0,0.8782728281414613
5716,Ok Obrigada,9.0,0.8102776568569028
5719,???,6.0,0.9517508450308584
5727,4,13.0,0.8569259173317467
5730,Boa tarde,12.0,0.9081050786729821
5735,??,6.0,0.9738372424132666
5741,Porque. Eu. Só. Recebeu. 130. De. Bolsa. Família,16.0,0.8626914700799837
5745,Ok,4.0,0.9999925679915664
5748,??????,6.0,0.9089205134115721
5755,Extrato,10.0,0.8074122961833015
5759,Ok,4.0,0.9999925679915664
5771,Oi,3.0,0.9999177003965305
5773,Ok,4.0,0.9999925679915664
5775,Boa tarde,12.0,0.9081050786729821
5788,Obrigado,7.0,0.9859162697976918
5789,Oi,3.0,0.9999177003965305
5791,Sim,5.0,0.9880873048952942
5792,Boa tarde.ei amigo eu ainda não estou com a declaração de  comorbidadde  vou pegar amanhã com o meu cardiologista  aí posso ir hj msm assim sem a declaração?,17.0,0.8128999073043438
5793,Ok,4.0,0.9999925679915664
5797,Ok,4.0,0.9999925679915664
5806,Ok,4.0,0.9999925679915664
5813,Obrigada 🥰!!!,16.0,0.8117936978917993
5818,Renato,10.0,0.8505565932999865
5819,"Rua José de Sá Carneiro, 51, Encruzilhada - Recife/PE
CEP 52.021-200",9.0,0.8700520971648278
5824,Ok,4.0,0.9999925679915664
5834,Olá,15.0,0.8845560941342169
5837,Cleonice Marques de Medeiros,9.0,0.8260891563070261
5846,Sim,5.0,0.9880873048952942
5847,Ok,4.0,0.9999925679915664
5848,??,6.0,0.9738372424132666
5859,02271708494,13.0,0.8818824528007646
5862,OiBoatade,10.0,0.801594503143871
5872,"Oi
Boa tarde",12.0,0.8204167117973393
5876,Boa tarde,12.0,0.9081050786729821
5877,Oi,3.0,0.9999177003965305
5881,Obrigada,2.0,0.9627894558350756
5887,?,6.0,0.9903489639542571
5890,54160685749,13.0,0.8949629624712079
5903,???,6.0,0.9517508450308584
5906,Oi,3.0,0.9999177003965305
5919,Obrigada,2.0,0.9627894558350756
5923,?,6.0,0.9903489639542571
5927,Br,4.0,0.8143003598953957
5929,"50 coxinhas 
30 bolinhas 
20 discos de frango",8.0,0.8578275527508539
5932,Ok,4.0,0.9999925679915664
5936,???,6.0,0.9517508450308584
5938,Boa tarde,12.0,0.9081050786729821
5940,Boa tarde!!!,16.0,0.8734705262922404
5944,Oi,3.0,0.9999177003965305
5949,33247765620,13.0,0.9214945672170836
5959,Boa tarde,12.0,0.9081050786729821
5960,01211474879,13.0,0.8485054815080404
5962,94507210330,13.0,0.8853706195746934
5963,Obrigada,2.0,0.9627894558350756
5964,70013438115,13.0,0.923945135994714
5980,Feito,7.0,0.8233220360783159
5989,Ok,4.0,0.9999925679915664
5995,Pronto. Obrigada.,16.0,0.8261181501806953
5997,Boa tarde,12.0,0.9081050786729821
5998,Pode fazer,0.0,0.8965791961977174
6013,"BARNEY ESTÉTICA CANINA ,PROFISSIONAL EM ESTÉTICA A MAIS DE 15 ANOS ,AQUI VC TEM TODO CUIDADO PARA QUEM ESTÁ SEMPRE AO SEU LADO .TEMOS BANHO COM HIDRATAÇÃO, PETEADOS ,TOSA EM TODAS AS RAÇAS, TOSA HIGIÊNICA, CORTE DE UNHAS ,LIMPEZA DE ORELHAS ,TOSA NA MÁQUINA, TOSA NA TESOURA ,TOSA DA RAÇA, RETIRADA DE SUB PELOS ,PACOTES MENSAIS ,ENTRE EM CONTATO É SAIBA MAIS ,CUIDAMOS DO SEU FILHO DE QUATRO PATAS COM TODO AMOR QUE ELE MERECE ,AQUI A PRIORIDADE É O BEM ESTAR DO SEU PET, NÃO OFERECEMOS SERVIÇOS DE TRASPORTES (22)999770262 AQUI A GENTE AMA ,A GENTE CUIDA",9.0,0.84146229066302
6018,?,6.0,0.9903489639542571
6026,2,13.0,0.9228572756673731
6029,Boa tarde,12.0,0.9081050786729821
6032,Estevao Moreira Lessa,9.0,0.9096689923027277
6034,Ok,4.0,0.9999925679915664
6035,02260183930,13.0,0.8394064077376229
6040,Ok,4.0,0.9999925679915664
6048,Sim,5.0,0.9880873048952942
6050,Ok,4.0,0.9999925679915664
6058,Ok,4.0,0.9999925679915664
6065,89286529104,13.0,0.8493866742149546
6072,67996158539,13.0,0.8782078930419802
6081,"ATENÇÃO A PARTIR DE SEGUNDA SUPER PROMOÇÃO, SOMENTE UMA VAGA NO DIA .PÉ É MÃO 28 , PÉ 14 ,MÃO 14 , BANHO DE GEL 40 ,AGRIGEL 70 ,MANUTENÇÃO  DE AGRIGEL 50 COM CUTILAGEM 60 ,ESMALTAÇÃO DE CRIANÇAS 10 ,COLOCAÇÃO DE ADESIVOS OU PEDRAS 2 REAIS CADA UNHA ,AGENDE SEU HORÁRIO NÃO DEIXE PRA ÚLTIMA HORA ,ACEITO DINHEIRO É PIX ,22999770262 JAQUE MENDES .",9.0,0.8616592216831239
6083,Boa tarde,12.0,0.9081050786729821
6089,Sim,5.0,0.9880873048952942
6091,Não. Como faço?,16.0,0.8043972155790653
6100,"Thaian Assis Rodrigues
96877",9.0,0.8071393595947631
6105,Ok,4.0,0.9999925679915664
6117,?????,6.0,0.9192450024273495
6129,Ok,4.0,0.9999925679915664
6138,36395294806,13.0,0.8752505066653586
6141,Obrigada,2.0,0.9627894558350756
6144,Boa tarde,12.0,0.9081050786729821
6148,É sobre aquela grana liberada em duas horas para aposentados e pensionistas! Queria saber se minha mãe tem direito.,1.0,0.8037971779374524
6149,Gostaria de saber se o recibo  do lote 8 do leilão 6349 está disponível,14.0,0.8091879825177701
6151,28937562472,13.0,0.8556531242301252
6152,Joia,10.0,0.8465413766286558
6159,Avenida Coronel Miguel Dias 1140. Apto 1602 torre 01. Guararapes,9.0,0.8074627915042291
6160,"Thaian Assis Rodrigues
96877",9.0,0.8071393595947631
6166,Ok,4.0,0.9999925679915664
6168,03779042363,13.0,0.8868369037208848
6172,Sim,5.0,0.9880873048952942
6176,02972382056,13.0,0.8890097575403835
6177,"RG 2001034067611
CPF 03330034386",8.0,0.8086013464805866
6181,Boa tarde,12.0,0.9081050786729821
6182,Obrigado,7.0,0.9859162697976918
6196,Ok,4.0,0.9999925679915664
6197,"Nova floresta PB
José edinaldo Lopes  Silva",9.0,0.8640687068560604
6202,Olá,15.0,0.8845560941342169
6203,06640791000109,13.0,0.8375811008926893
6208,Ok,4.0,0.9999925679915664
6211,"é porque você poderia ter uma ideia no sentido ''a previsão de pagamento é dia X '', que ai eu conseguiria ver a passagem pra comprar",1.0,0.8012700981098867
6212,Digite. 1.  Eu. Aposentado. Pelo. Inss.,16.0,0.8314653241903892
6213,?,6.0,0.9903489639542571
6215,32369445874,13.0,0.8862590489294272
6223,56381743620,13.0,0.8711497831457797
6227,O elevador de serviço ta fazendo um barulhão,14.0,0.8401590419922013
6228,Sim,5.0,0.9880873048952942
6230,1,13.0,0.9225807665146257
6234,Oi,3.0,0.9999177003965305
6241,Oi,3.0,0.9999177003965305
6246,Só 1 minuto,8.0,0.8280785111169335
6249,Sim,5.0,0.9880873048952942
6251,Boa tarde,12.0,0.9081050786729821
6255,Obrigado,7.0,0.9859162697976918
6259,Obrigada,2.0,0.9627894558350756
6266,Ok,4.0,0.9999925679915664
6267,Ok,4.0,0.9999925679915664
6279,20512470804,13.0,0.8537201049038514
6289,Sim,5.0,0.9880873048952942
6293,Simmmm,10.0,0.8079916616801254
6299,Olá,15.0,0.8845560941342169
6308,Eu sou benefíciario do inss com o amparo social tenho direto a 13 salário,14.0,0.8094667442806738
6329,Ok. Mando sim.,16.0,0.8618342538753605
6338,??,6.0,0.9738372424132666
6339,?,6.0,0.9903489639542571
6344,?,6.0,0.9903489639542571
6349,Ednice,10.0,0.8173192099838031
6351,Ok Obrigado,9.0,0.8422136409379639
6352,Certo,19.0,0.989127781057761
6357,73501093187,13.0,0.9147205065852688
6358,Oi,3.0,0.9999177003965305
6360,Olá,15.0,0.8845560941342169
6368,Ok,4.0,0.9999925679915664
6387,Ok,4.0,0.9999925679915664
6393,?,6.0,0.9903489639542571
6398,Ok,4.0,0.9999925679915664
6400,Sim pode confirmar,0.0,0.8109998533676985
6408,Boa tarde,12.0,0.9081050786729821
6411,Ok,4.0,0.9999925679915664
6413,?????,6.0,0.9192450024273495
6415,Cartão de Vacinação Frente e Verso_Allyson M F Ribeiro.pdf,9.0,0.8457086592991294
6418,Boa tarde,12.0,0.9081050786729821
6419,Atestado Médico_Allyson M F Ribeiro.pdf,9.0,0.8521358003133142
6422,.,6.0,0.9528993961538452
6426,Oi,3.0,0.9999177003965305
6428,Ok,4.0,0.9999925679915664
6431,"Ana Beatriz Rodrigues Cardoso
42404900811",9.0,0.9070681322894347
6436,Oi,3.0,0.9999177003965305
6438,36151248805,13.0,0.9011198107939338
6446,?,6.0,0.9903489639542571
6453,Obrigado,7.0,0.9859162697976918
6464,"será que vc consegue me ajudar, ontem na correria de fazer o pedido tinha pedido para excluir os ítens acima, mas não me atentei que no novo orçamento veio a compressa que gaze estéril que tinha pedido para excluir, só me atentei hoje quando chegou o pedido. Podemos devolver esse ítem?",17.0,0.81594542852884
6468,Joao financeiro todos os eu olho no youtube sua layfe sou aposentada eligueo pro 135 do INSS é procurei saber sobre o beneficio do artigo 29 que tem dereíto de receber essa importancia de 6.mil reais ela me respondeu que eu não  tenho dereito de receber porque.,17.0,0.8392019716506598
6477,19.05 1999,13.0,0.8352951194684037
6479,Luis Gustavo Honorato de Oliveira,9.0,0.8668940248414178
6488,Bismelde da Silva Ricardo,9.0,0.8034721472442126
6489,1,13.0,0.9225807665146257
6491,Obrigada,2.0,0.9627894558350756
6493,Boa tarde,12.0,0.9081050786729821
6504,"Boa tarde
Alguma resposta?",12.0,0.8212185367672828
6510,Boa tarde Pâmela,12.0,0.8675076134614087
6511,Ok,4.0,0.9999925679915664
6513,127 604 764 99,13.0,0.8677857609902357
6515,Eu paguei via pix por que o boleto não tava aceitando pra pagar estava dando inválido. Mandei o comprovante do pix no número de atendimento e eles liberaram. Dai ontem a internet parou 00:00 pedi pra minha irmã ligar hoje pra mim no 0800 e eles disseram que está com débito não pago do dia 2,17.0,0.8633757261811529
6517,Eu estou tendo problemas com o vencimento da internet desde que coloquei. Dia 2 eles já cortam sendo que pedi pra dia 12 e a fatura desse mês já está paga e eles cortaram minha internet. Não consegui resolver pelo 0800 nem pelo Whatsapp como eu faço?,17.0,0.8254529518633736
6520,Oi,3.0,0.9999177003965305
6521,Boa tarde,12.0,0.9081050786729821
6527,Ok,4.0,0.9999925679915664
6530,Ok,4.0,0.9999925679915664
6545,Boa tarde,12.0,0.9081050786729821
6546,Ok,4.0,0.9999925679915664
6547,Ok. Obrigada!,16.0,0.8483882816334265
6551,?,6.0,0.9903489639542571
6554,Ok,4.0,0.9999925679915664
6561,Ok,4.0,0.9999925679915664
6565,Ok! Obrigada!,16.0,0.8475887763729847
6566,Boa tarde,12.0,0.9081050786729821
6568,Ok,4.0,0.9999925679915664
6569,02286255997,13.0,0.889622736183175
6583,?,6.0,0.9903489639542571
6604,Viviane,10.0,0.8224344695066563
6616,Olá,15.0,0.8845560941342169
6618,Sim,5.0,0.9880873048952942
6626,"Valéria Ferraz Pires
18.09.1967
Valeriaferrazdonna@gmail.com
Valeria.ferraz@donadasvendas.com
Radio Donna
Cep 45810-000
CPF 067.037.538-14",9.0,0.8119701948873006
6627,??,6.0,0.9738372424132666
6629,Ok,4.0,0.9999925679915664
6631,Obrigada,2.0,0.9627894558350756
6633,MARIO SEBASTIAO CORDEIRO ALVES,9.0,0.8334316160540138
6645,Combinado,7.0,0.801541678716456
6653,Obrigada,2.0,0.9627894558350756
6659,Olá,15.0,0.8845560941342169
6661,Ok. Obrigada.,16.0,0.8186573721080814
6665,Ok,4.0,0.9999925679915664
6668,38992089223,13.0,0.8391579095006771
6677,Oi,3.0,0.9999177003965305
6680,1327MA Sidney Vilaça,9.0,0.8130823445085682
6682,Pode solicitar,0.0,0.8754327919732028
6685,Boa tarde,12.0,0.9081050786729821
6690,Olá,15.0,0.8845560941342169
6691,00831037750,13.0,0.8820410480828816
6692,Boa tarde,12.0,0.9081050786729821
6695,5,13.0,0.8520622415298768
6697,Boa tarde,12.0,0.9081050786729821
6714,Sim,5.0,0.9880873048952942
6726,Gostaria d saber se eu tenho direito em alguns requerimento do INSS que o meu marido entrou com pedido d aposentado em 2011 e saiu no começo de 2013 então aí ele já avia falecida só q eu não recebi nada dos atrasado do INSS VC pode me informar alguns dúvida fazendo um favor ?,17.0,0.8060954594827199
6727,Ok,4.0,0.9999925679915664
6729,Ok,4.0,0.9999925679915664
6730,Ok,4.0,0.9999925679915664
6732,Blzz,10.0,0.8516454272573022
6733,Ok,4.0,0.9999925679915664
6734,?,6.0,0.9903489639542571
6735,1083543,13.0,0.8772405723591243
6747,Boa tarde,12.0,0.9081050786729821
6749,323 468 323 91,13.0,0.8968513898962085
6757,Ok,4.0,0.9999925679915664
6762,79310192372,13.0,0.8599451647077363
6764,Ok,4.0,0.9999925679915664
6769,Ok,4.0,0.9999925679915664
6773,Pode fazer sim,0.0,0.8020966226620869
6780,Tá certo . Obrigado Júnior .,16.0,0.8381466014306326
6786,Oi,3.0,0.9999177003965305
6790,Matricula 4199,9.0,0.8204027331214079
6819,loja nova Ouvirmax Center Um,9.0,0.8285319218643545
6821,Primeiramente mandei o exame demissional por e-mail,14.0,0.8328302678594065
6824,Obrigado,7.0,0.9859162697976918
6829,Ok,4.0,0.9999925679915664
6840,Oi,3.0,0.9999177003965305
6853,Compreendo.,16.0,0.8208891504603668
6854,Ok,4.0,0.9999925679915664
6856,1,13.0,0.9225807665146257
6857,???????,6.0,0.9010670146096985
6859,?,6.0,0.9903489639542571
6861,OI SAO DUAS OS OU UMA SÓ,9.0,0.8106902033804648
6863,1083543,13.0,0.8772405723591243
6866,"José Newton Lima Crispim.
DN: 03/08/81
Particular",9.0,0.8787148024195757
6874,Ok,4.0,0.9999925679915664
6878,Cristóvão José da Silva Gomes,9.0,0.8932307843928733
6884,Oi,3.0,0.9999177003965305
6890,70013438115,13.0,0.923945135994714
6892,Francisco Eduardo Tigre França . CPF 230 095 273 49,9.0,0.8041911716337036
6894,Boa tarde,12.0,0.9081050786729821
6901,Olá Adriele,9.0,0.8173965388618679
6905,Antonio Carlos Oliveira Chaves,9.0,0.897362013729308
6910,Ok,4.0,0.9999925679915664
6913,Obrigada,2.0,0.9627894558350756
6917,Ok,4.0,0.9999925679915664
6922,507,13.0,0.8898111632931851
6930,13004791838,13.0,0.8649488498587082
6940,Francisca Célia dos santos Santana,9.0,0.8545305727862317
6942,3,13.0,0.9309000111928037
6943,Ok,4.0,0.9999925679915664
6947,"Samya dos Santos da Silva
23/07/1996",9.0,0.8147219717858645
6949,Rua arquiteto Reginaldo Rangel 155 AP 203 cocó,9.0,0.8820577676193102
6956,Pode transferir,0.0,0.8726976953313174
6959,Sim,5.0,0.9880873048952942
6974,Ok,4.0,0.9999925679915664
6975,Ok,4.0,0.9999925679915664
6976,Ok,4.0,0.9999925679915664
6995,Boa tarde,12.0,0.9081050786729821
6999,Ok,4.0,0.9999925679915664
7000,Boa tarde,12.0,0.9081050786729821
7002,??,6.0,0.9738372424132666
7012,Kk,4.0,0.8029325107151339
7027,"Raimundo Alves
Jardim Vista Alegre",9.0,0.9178106287155556
7029,"Luís Biano da Silva Filho
61325198315",9.0,0.848830384900547
7031,1,13.0,0.9225807665146257
7034,4,13.0,0.8569259173317467
7041,Pode marcar,0.0,0.8815620069403037
7043,1,13.0,0.9225807665146257
7052,Obrigada,2.0,0.9627894558350756
7065,Oi,3.0,0.9999177003965305
7068,Ok,4.0,0.9999925679915664
7074,Sim,5.0,0.9880873048952942
7077,10,13.0,0.8851089064317035
7078,"RG: 1725 942- ssp-DF
Cpf 098 311 853-15",8.0,0.8313113293178714
7085,Parque Arthoria,9.0,0.8790518661142519
7089,Boa tarde,12.0,0.9081050786729821
7091,"Romilson Ribeiro Rocha  
70740810197
Palmas Tocantins",9.0,0.9079916004966684
7093,Já sou paciente,18.0,0.8593652206940021
7096,Boa tarde,12.0,0.9081050786729821
7107,?,6.0,0.9903489639542571
7112,Obrigado,7.0,0.9859162697976918
7120,O do carro entra só o valor financiado? O valor total do bem não né?,14.0,0.8600686606706823
7133,Sim,5.0,0.9880873048952942
7134,Ainda não,18.0,0.8133151831778832
7138,Magine,10.0,0.8102468752479488
7139,"Elvani jesus do. Carmo. CPF. 959190311,15",16.0,0.807472360024433
7142,Bradesco Saúde,9.0,0.8567872381899544
7150,11750065304,13.0,0.8605811975569729
7151,?,6.0,0.9903489639542571
7157,Boa tarde,12.0,0.9081050786729821
7165,.,6.0,0.9528993961538452
7168,?,6.0,0.9903489639542571
7173,1,13.0,0.9225807665146257
7175,Rua Osvaldo Cruz 241 ap 902- meireles,9.0,0.8113259789606659
7177,65 992834599,13.0,0.8964212023493432
7180,Sim,5.0,0.9880873048952942
7184,Boa tarde,12.0,0.9081050786729821
7185,2,13.0,0.9228572756673731
7186,989270757,13.0,0.8824720069038333
7188,PARA: João Vitor ou Giulia,9.0,0.8290577300747833
7200,Obrigada,2.0,0.9627894558350756
7202,DE: Tio Isac e Tia Ju,9.0,0.8278370747037
7206,Ok,4.0,0.9999925679915664
7210,Boa tarde,12.0,0.9081050786729821
7220,?,6.0,0.9903489639542571
7221,37244523734,13.0,0.880624719287091
7238,Boa tarde,12.0,0.9081050786729821
7242,"Excelente Bete.
Muitíssimo obrigado!",16.0,0.817237486343815
7247,713930304 59,13.0,0.8833703228368583
7249,Ok,4.0,0.9999925679915664
7256,Boa tarde,12.0,0.9081050786729821
7259,Certinho,10.0,0.8498348733976561
7270,Boa tarde,12.0,0.9081050786729821
7272,Certo,19.0,0.989127781057761
7275,Oi,3.0,0.9999177003965305
7279,Ok,4.0,0.9999925679915664
7282,Parque Luiza,9.0,0.8209583571790544
7283,Valeu Bruno,9.0,0.8113884053661637
7290,44757402821,13.0,0.8359513589121728
7296,Kelly Barros Neves ferreira,9.0,0.8809782009377933
7298,Boa tarde,12.0,0.9081050786729821
7304,Obrigado,7.0,0.9859162697976918
7311,5502 0925 2948 7356,13.0,0.8771786028235978
7315,Ok,4.0,0.9999925679915664
7321,Sim,5.0,0.9880873048952942
7330,???,6.0,0.9517508450308584
7331,Angelita Aparecida Pimentel,9.0,0.8467144392280133
7345,Jefferson,10.0,0.8376533889302453
7348,Meu CPF 234 156 069 53,13.0,0.8077028336422001
7349,Ok,4.0,0.9999925679915664
7357,Tem ??,6.0,0.8497861446947679
7359,Número 5509 0925 2948 7356,8.0,0.8581740870270717
7360,???,6.0,0.9517508450308584
7361,Oi,3.0,0.9999177003965305
7365,Mesa de som ??,16.0,0.8123432528080874
7366,Dizem. Que. Tenho. 3. Parcelas. Vencidas. Sem. Pagar. Eu. Não. Fiz. Pelo   INSS. Como. Que. Estão. Cobrando,16.0,0.8728085640499357
7375,"Boa tarde , hoje fui tomar vacina no centro de eventos e eu acho que a enfermeira não me devolveu o meu documento de identificação, a carteira de motorista, aí eu queria saber como devo proceder pra reaver meu documento !",17.0,0.8360901673169381
7377,Vidwo,10.0,0.8027291604474462
7378,32046996844,13.0,0.8499385818005676
7394,Falei. Com. Vc ontem. E fico. Pra mim. Ir. Aí. Hoje,16.0,0.8604464394834211
7395,Queria saber arrespeito de um refinanciamento com o itau e não consigo,14.0,0.8215003524106816
7397,Olá,15.0,0.8845560941342169
7402,Oiee,10.0,0.8356030453562997
7405,Ok,4.0,0.9999925679915664
7411,Boa tarde,12.0,0.9081050786729821
7415,Ok,4.0,0.9999925679915664
7418,Obrigado,7.0,0.9859162697976918
7420,Ok,4.0,0.9999925679915664
7421,Ok,4.0,0.9999925679915664
7426,Obrigado,7.0,0.9859162697976918
7437,"[CONTATO]
Nome: Banco pan
Telefones:
	- +55 11 96489-8751 

Empresa:
	- Banco pan

",9.0,0.8429123581248961
7438,Ok,4.0,0.9999925679915664
7447,Ok,4.0,0.9999925679915664
7451,sim pode falar,0.0,0.8021892565037418
7455,?,6.0,0.9903489639542571
7466,Olá,15.0,0.8845560941342169
7471,Oi,3.0,0.9999177003965305
7474,?,6.0,0.9903489639542571
7475,1,13.0,0.9225807665146257
7483,1140497,13.0,0.8810977767425449
7490,?,6.0,0.9903489639542571
7492,Olá,15.0,0.8845560941342169
7498,Sandra Mello de Castro,9.0,0.825389891563045
7503,Boa tarde,12.0,0.9081050786729821
7504,5,13.0,0.8520622415298768
7509,Tão. Me. Cobrando. Na. Caixa. Empréstimo. Parcela. Que. Fiz. Com. Vocês. Só. Quero. Em. Primeiro. Lugar. Resolver. Isto,16.0,0.8687249349679882
7515,Ok,4.0,0.9999925679915664
7517,Oi,3.0,0.9999177003965305
7520,Ok,4.0,0.9999925679915664
7526,?,6.0,0.9903489639542571
7532,???,6.0,0.9517508450308584
7534,Boa tarde,12.0,0.9081050786729821
7552,"Graças a Deus, Essa pendência de IPTU já está tramitando faz mais de um mês e eu estou impossibilitada de trabalhar devido ter que aguardar isso para poder tirar o alvará e só assim poder trabalhar",17.0,0.8348480933615502
7554,31572,13.0,0.9151730468582391
7556,10,13.0,0.8851089064317035
7563,Boa tarde,12.0,0.9081050786729821
7568,Boa tarde,12.0,0.9081050786729821
7570,Oi,3.0,0.9999177003965305
7571,Boa tarde,12.0,0.9081050786729821
7573,Obrigada,2.0,0.9627894558350756
7579,Oi,3.0,0.9999177003965305
7584,03590602937,13.0,0.8403468970234358
7602,Ok,4.0,0.9999925679915664
